Row Labels,Sum of subscribers,subscribers_category
Autos & Vehicles,35700000,Below 500M Subscribers
Comedy,1335400000,Above 1B Subscribers
Education,1140500000,Above 1B Subscribers
Entertainment,4559300000,Above 1B Subscribers
Film & Animation,1002000000,Above 1B Subscribers
Gaming,1643000000,Above 1B Subscribers
Howto & Style,639200000,500M to 1B Subscribers
Movies,51300000,Below 500M Subscribers
Music,4668200000,Above 1B Subscribers
News & Politics,536400000,500M to 1B Subscribers
Nonprofits & Activism,55500000,Below 500M Subscribers
People & Blogs,2262000000,Above 1B Subscribers
Pets & Animals,58200000,Below 500M Subscribers
Science & Technology,277900000,Below 500M Subscribers
Shows,522100000,500M to 1B Subscribers
Sports,298200000,Below 500M Subscribers
Trailers,78000000,Below 500M Subscribers
Travel & Events,12500000,Below 500M Subscribers
Grand Total,19175400000,
