Row Labels,Count of Country
Afghanistan,1
Andorra,1
Argentina,13
Australia,9
Bangladesh,1
Barbados,1
Brazil,62
Canada,15
Chile,3
China,1
Colombia,11
Cuba,1
Ecuador,2
Egypt,2
El Salvador,1
Finland,1
France,5
Germany,6
India,163
Indonesia,27
Iraq,2
Italy,2
Japan,5
Jordan,3
Kuwait,1
Latvia,1
Malaysia,1
Mexico,33
Morocco,1
Netherlands,3
Pakistan,5
Peru,1
Philippines,10
Russia,16
Samoa,1
Saudi Arabia,9
Singapore,2
South Korea,15
Spain,22
Sweden,3
Switzerland,1
Thailand,18
Turkey,3
Ukraine,8
United Arab Emirates,5
United Kingdom,42
United States,291
Venezuela,1
Vietnam,3
