Row Labels,Max of subscribers,Min of subscribers,Max of highest_yearly_earnings,Max of lowest_yearly_earnings
1970,36300000,36300000,1000000,63300
2005,70500000,12400000,81900000,5100000
2006,245000000,12400000,108400000,6800000
2007,96000000,12400000,79600000,5000000
2008,71300000,12500000,64200000,4000000
2009,59500000,12800000,22100000,1400000
2010,111000000,12400000,15800000,989600
2011,68200000,12500000,32900000,2100000
2012,166000000,12300000,64700000,4000000
2013,65900000,12500000,30700000,1900000
2014,96700000,12400000,78500000,4900000
2015,112000000,12400000,39100000,2400000
2016,106000000,12400000,110600000,6900000
2017,42400000,12300000,26900000,1700000
2018,98900000,12300000,27900000,1700000
2019,26100000,12400000,43400000,2700000
2020,80100000,12700000,59800000,3700000
2021,24200000,13200000,56300000,3500000
