x,y,c
2005,487000000,0
2006,2438300000,0
2007,1063100000,0
2008,1017200000,0
2009,1135000000,0
2010,842400000,0
2011,1671300000,0
2012,1482500000,0
2013,1477300000,0
2014,1927100000,0
2015,1445000000,0
2016,1395900000,0
2017,994800000,0
2018,646900000,0
2019,258300000,0
2020,418400000,0
2021,218600000,0
2022,13100000,0
2005,2.97572E+11,1
2006,1.39781E+12,1
2007,6.51401E+11,1
2008,5.98916E+11,1
2009,6.09591E+11,1
2010,4.00035E+11,1
2011,8.09462E+11,1
2012,6.49394E+11,1
2013,6.48304E+11,1
2014,9.24949E+11,1
2015,6.30256E+11,1
2016,6.21928E+11,1
2017,3.26773E+11,1
2018,3.41849E+11,1
2019,1.30514E+11,1
2020,2.61433E+11,1
2021,1.54351E+11,1
2022,2182651464,1
